Word,Start,End,Length,UtteranceName,Speaker,Filename,Global_start,Global_end
s'en,5.7,5.87,0.16999999999999993,9_Child_CA-RL-ML,Child,CA-RL-ML,93.7,93.87
peut,5.59,5.7,0.11000000000000032,9_Child_CA-RL-ML,Child,CA-RL-ML,93.59,93.7
on,5.3,5.44,0.14000000000000057,9_Child_CA-RL-ML,Child,CA-RL-ML,93.3,93.44
ou,5.225,5.3,0.07500000000000018,9_Child_CA-RL-ML,Child,CA-RL-ML,93.225,93.3
quoi,4.89,5.225,0.33499999999999996,9_Child_CA-RL-ML,Child,CA-RL-ML,92.89,93.225
servir,4.54,4.89,0.34999999999999964,9_Child_CA-RL-ML,Child,CA-RL-ML,92.54,92.89
s'en,4.35,4.54,0.1900000000000004,9_Child_CA-RL-ML,Child,CA-RL-ML,92.35,92.54
ben,4.18,4.3,0.1200000000000001,9_Child_CA-RL-ML,Child,CA-RL-ML,92.18,92.3
euh,4.14,4.18,0.040000000000000036,9_Child_CA-RL-ML,Child,CA-RL-ML,92.14,92.18
pour,3.87,4.14,0.2699999999999996,9_Child_CA-RL-ML,Child,CA-RL-ML,91.87,92.14
euh,3.14,3.32,0.17999999999999972,9_Child_CA-RL-ML,Child,CA-RL-ML,91.14,91.32
pour,2.84,3.14,0.30000000000000027,9_Child_CA-RL-ML,Child,CA-RL-ML,90.84,91.14
attitrés,2.3,2.84,0.54,9_Child_CA-RL-ML,Child,CA-RL-ML,90.3,90.84
moments,1.13,1.54,0.41000000000000014,9_Child_CA-RL-ML,Child,CA-RL-ML,89.13,89.54
des,0.88,1.13,0.2499999999999999,9_Child_CA-RL-ML,Child,CA-RL-ML,88.88,89.13
vraiment,0.47,0.88,0.41000000000000003,9_Child_CA-RL-ML,Child,CA-RL-ML,88.47,88.88
a,0.37,0.47,0.09999999999999998,9_Child_CA-RL-ML,Child,CA-RL-ML,88.37,88.47
qu'on,0.22,0.37,0.15,9_Child_CA-RL-ML,Child,CA-RL-ML,88.22,88.37
Est-ce,0.13,0.22,0.09,9_Child_CA-RL-ML,Child,CA-RL-ML,88.13,88.22
grand,8.76,9.25,0.4900000000000002,9_Child_CA-LD-GD,Child,CA-LD-GD,117.76,118.25
c'est,8.12,8.76,0.6400000000000006,9_Child_CA-LD-GD,Child,CA-LD-GD,117.12,117.76
que,7.4,7.67,0.2699999999999996,9_Child_CA-LD-GD,Child,CA-LD-GD,116.4,116.67
est-ce,7.19,7.34,0.14999999999999947,9_Child_CA-LD-GD,Child,CA-LD-GD,116.19,116.34
plus,5.92,6.44,0.5200000000000005,9_Child_CA-LD-GD,Child,CA-LD-GD,114.92,115.44
faire,5.27,5.63,0.3600000000000003,9_Child_CA-LD-GD,Child,CA-LD-GD,114.27,114.63
peut,4.86,5.14,0.27999999999999936,9_Child_CA-LD-GD,Child,CA-LD-GD,113.86,114.14
ça,4.53,4.86,0.33000000000000007,9_Child_CA-LD-GD,Child,CA-LD-GD,113.53,113.86
c'est,3.02,4.09,1.0699999999999998,9_Child_CA-LD-GD,Child,CA-LD-GD,112.02,113.09
que,2.14,2.17,0.029999999999999805,9_Child_CA-LD-GD,Child,CA-LD-GD,111.14,111.17
Est-ce,0.31,0.74,0.43,9_Child_CA-LD-GD,Child,CA-LD-GD,109.31,109.74
plante,0.48,0.95,0.47,9_Adult2_AA-LA-AN,Adult2,AA-LA-AN,69.48,69.95
Une,0.38,0.48,0.09999999999999998,9_Adult2_AA-LA-AN,Adult2,AA-LA-AN,69.38,69.48
bon,0.92,1.09,0.17000000000000004,9_Adult2_AA-GD-DD,Adult2,AA-GD-DD,146.92,147.09
c'est,0.71,0.92,0.21000000000000008,9_Adult2_AA-GD-DD,Adult2,AA-GD-DD,146.71,146.92
Oui,0.39,0.62,0.22999999999999998,9_Adult2_AA-GD-DD,Adult2,AA-GD-DD,146.39,146.62
computers,9.64,10.0,0.35999999999999943,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,118.64,119.0
with,5.09,5.7,0.6100000000000003,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,114.09,114.7
anything,3.55,5.09,1.54,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,112.55,114.09
do,3.5,3.55,0.04999999999999982,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,112.5,112.55
to,3.39,3.5,0.10999999999999988,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,112.39,112.5
have,3.33,3.39,0.06000000000000005,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,112.33,112.39
it,2.69,3.26,0.5699999999999998,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,111.69,112.26
does,2.59,2.69,0.10000000000000009,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,111.59,111.69
uh,1.9,2.49,0.5900000000000003,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,110.9,111.49
And,1.14,1.9,0.76,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,110.14,110.9
Okay,0.97,1.14,0.16999999999999993,9_Adult2_AA-BO-CM,Adult2,AA-BO-CM,109.97,110.14
