UtteranceName,Filename,Global_end,Global_start,Length,Speaker,Word,syllables,Speech rate
93_Adult2_AA-BO-CM,AA-BO-CM,1032.64,1004.01,8.800000000000004,Adult2,19,31,1.0827803003842082
218_Adult1_AA-BO-CM,AA-BO-CM,1014.63,1011.25,2.4299999999999997,Adult1,11,17,5.029585798816575
219_Adult1_AA-BO-CM,AA-BO-CM,1036.63,1034.0,2.2599999999999993,Adult1,11,15,5.703422053231702
220_Adult1_AA-BO-CM,AA-BO-CM,1044.19,1040.04,3.369999999999999,Adult1,19,26,6.265060240963718
96_Adult2_AA-BO-CM,AA-BO-CM,1059.19,1051.17,3.1699999999999986,Adult2,11,12,1.496259351620951
221_Adult1_AA-BO-CM,AA-BO-CM,1060.14,1059.43,0.3999999999999998,Adult1,2,2,2.8169014084505597
97_Adult2_AA-BO-CM,AA-BO-CM,1068.72,1061.05,3.29,Adult2,13,20,2.607561929595803
224_Adult1_AA-BO-CM,AA-BO-CM,1076.68,1071.59,1.1799999999999995,Adult1,3,4,0.7858546168958518
100_Adult2_AA-BO-CM,AA-BO-CM,1077.86,1076.78,0.4199999999999999,Adult2,4,6,5.55555555555593
226_Adult1_AA-BO-CM,AA-BO-CM,1085.98,1080.48,4.19,Adult1,20,28,5.090909090909091
101_Adult2_AA-BO-CM,AA-BO-CM,1086.33,1085.93,0.3999999999999999,Adult2,2,2,5.000000000001705
227_Adult1_AA-BO-CM,AA-BO-CM,1100.07,1086.14,7.650000000000003,Adult1,36,48,3.4458004307250945
102_Adult2_AA-BO-CM,AA-BO-CM,1108.89,1099.27,1.7099999999999995,Adult2,5,8,0.8316008316008214
228_Adult1_AA-BO-CM,AA-BO-CM,1106.15,1102.05,2.23,Adult1,11,18,4.390243902438878
103_Adult2_AA-BO-CM,AA-BO-CM,1113.99997,1109.0,0.2999700000000003,Adult2,4,3,0.600003600021591
229_Adult1_AA-BO-CM,AA-BO-CM,1113.92,1110.03,2.32,Adult1,10,15,3.8560411311052993
230_Adult1_AA-BO-CM,AA-BO-CM,1121.52,1114.0,1.7099999999999995,Adult1,6,8,1.0638297872340452
104_Adult2_AA-BO-CM,AA-BO-CM,1125.15,1114.06,1.4499999999999995,Adult2,2,2,0.18034265103696787
105_Adult2_AA-BO-CM,AA-BO-CM,1146.08,1131.23,6.119999999999998,Adult2,35,52,3.501683501683523
106_Adult2_AA-BO-CM,AA-BO-CM,1160.36,1147.06,4.900000000000001,Adult2,17,21,1.578947368421058
233_Adult1_AA-BO-CM,AA-BO-CM,1171.68,1159.0,6.809999999999995,Adult1,30,44,3.4700315457413073
234_Adult1_AA-BO-CM,AA-BO-CM,1175.08,1174.06,0.6,Adult1,3,5,4.901960784313813
235_Adult1_AA-BO-CM,AA-BO-CM,1179.48,1178.56,0.9199999999999997,Adult1,4,5,5.4347826086952225
236_Adult1_AA-BO-CM,AA-BO-CM,1188.22,1181.69,4.55,Adult1,19,34,5.206738131699868
108_Adult2_AA-BO-CM,AA-BO-CM,1195.4,1187.33,6.61,Adult2,24,40,4.956629491945376
109_Adult2_AA-BO-CM,AA-BO-CM,1203.82,1196.34,5.12,Adult2,17,30,4.010695187165766
110_Adult2_AA-BO-CM,AA-BO-CM,1227.0,1204.56,11.019999999999996,Adult2,16,33,1.470588235294114
111_Adult2_AA-BO-CM,AA-BO-CM,1250.53,1227.0,8.34,Adult2,36,48,2.0399490012749704
241_Adult1_AA-BO-CM,AA-BO-CM,1287.92,1248.0,8.65,Adult1,32,50,1.252505010020038
112_Adult2_AA-BO-CM,AA-BO-CM,1291.39,1263.63,18.04,Adult2,74,117,4.214697406340059
113_Adult2_AA-BO-CM,AA-BO-CM,1299.13,1293.36,4.429999999999999,Adult2,12,22,3.8128249566723054
114_Adult2_AA-BO-CM,AA-BO-CM,1302.01,1301.34,0.6699999999999999,Adult2,3,4,5.970149253730695
244_Adult1_AA-BO-CM,AA-BO-CM,1309.16,1304.09,3.3199999999999994,Adult1,15,24,4.733727810650735
245_Adult1_AA-BO-CM,AA-BO-CM,1311.67,1310.11,1.2199999999999998,Adult1,4,4,2.56410256410228
116_Adult2_AA-BO-CM,AA-BO-CM,1327.68,1312.0,9.54,Adult2,43,66,4.20918367346937
117_Adult2_AA-BO-CM,AA-BO-CM,1335.07,1328.37,3.9400000000000004,Adult2,15,19,2.8358208955223687
248_Adult1_AA-BO-CM,AA-BO-CM,1337.2,1336.45,0.7,Adult1,2,4,5.333333333333333
118_Adult2_AA-BO-CM,AA-BO-CM,1342.54,1337.01,1.6,Adult2,3,3,0.5424954792043426
249_Adult1_AA-BO-CM,AA-BO-CM,1357.67,1345.0,0.8299999999999998,Adult1,4,5,0.39463299131807195
119_Adult2_AA-BO-CM,AA-BO-CM,1357.0,1347.04,5.649999999999997,Adult2,24,37,3.7148594377509903
250_Adult1_AA-BO-CM,AA-BO-CM,1361.41,1358.02,2.53,Adult1,8,10,2.949852507374544
