UtteranceName,Speaker,Filename,Global_end,Global_start,Length,Speaker,UtteranceName,Word,syllables,Speech rate
161_Child_CA-BO-IO,Child,['CA-BO-IO'],511.0,503.31,3.14,['Child'],['161_Child_CA-BO-IO'],9,12,1.560468140442133
162_Child_CA-BO-IO,Child,['CA-BO-IO'],516.98,511.42,2.1799999999999997,['Child'],['162_Child_CA-BO-IO'],5,8,1.4388489208633088
163_Child_CA-BO-IO,Child,['CA-BO-IO'],523.59,517.12,1.29,['Child'],['163_Child_CA-BO-IO'],3,4,0.6182380216383282
46_Parent_CA-BO-IO,Parent,['CA-BO-IO'],520.7,518.0,0.8500000000000001,['Parent'],['46_Parent_CA-BO-IO'],2,3,1.1111111111110923
164_Child_CA-BO-IO,Child,['CA-BO-IO'],529.9,524.0,1.2100000000000002,['Child'],['164_Child_CA-BO-IO'],2,3,0.5084745762711884
48_Parent_CA-BO-IO,Parent,['CA-BO-IO'],532.0,531.29,0.5599999999999998,['Parent'],['48_Parent_CA-BO-IO'],4,5,7.0422535211263995
50_Parent_CA-BO-IO,Parent,['CA-BO-IO'],539.83,533.53,2.5799999999999996,['Parent'],['50_Parent_CA-BO-IO'],5,6,0.9523809523809421
168_Child_CA-BO-IO,Child,['CA-BO-IO'],540.85,538.0,1.48,['Child'],['168_Child_CA-BO-IO'],3,3,1.05263157894736
51_Parent_CA-BO-IO,Parent,['CA-BO-IO'],541.42,540.0,1.4199999999999997,['Parent'],['51_Parent_CA-BO-IO'],6,11,7.74647887323966
169_Child_CA-BO-IO,Child,['CA-BO-IO'],542.34,541.09,0.8799999999999999,['Child'],['169_Child_CA-BO-IO'],3,4,3.2
170_Child_CA-BO-IO,Child,['CA-BO-IO'],547.66,546.07,1.5899999999999999,['Child'],['170_Child_CA-BO-IO'],2,3,1.8867924528302857
52_Parent_CA-BO-IO,Parent,['CA-BO-IO'],547.38,546.57,0.8099999999999997,['Parent'],['52_Parent_CA-BO-IO'],4,6,7.407407407407907
53_Parent_CA-BO-IO,Parent,['CA-BO-IO'],550.14,548.33,1.6999999999999997,['Parent'],['53_Parent_CA-BO-IO'],8,13,7.182320441989167
171_Child_CA-BO-IO,Child,['CA-BO-IO'],568.95,553.0,5.349999999999999,['Child'],['171_Child_CA-BO-IO'],12,21,1.3166144200626921
174_Child_CA-BO-IO,Child,['CA-BO-IO'],570.86,569.0,1.86,['Child'],['174_Child_CA-BO-IO'],3,4,2.1505376344085865
56_Parent_CA-BO-IO,Parent,['CA-BO-IO'],569.91,569.3,0.61,['Parent'],['56_Parent_CA-BO-IO'],2,3,4.918032786885136
57_Parent_CA-BO-IO,Parent,['CA-BO-IO'],578.64,572.27,4.589999999999998,['Parent'],['57_Parent_CA-BO-IO'],20,24,3.7676609105180505
59_Parent_CA-BO-IO,Parent,['CA-BO-IO'],584.89,583.24,0.3199999999999999,['Parent'],['59_Parent_CA-BO-IO'],2,2,1.2121212121212288
177_Child_CA-BO-IO,Child,['CA-BO-IO'],590.73,588.0,1.9,['Child'],['177_Child_CA-BO-IO'],4,5,1.8315018315018192
178_Child_CA-BO-IO,Child,['CA-BO-IO'],611.07,599.0,5.26,['Child'],['178_Child_CA-BO-IO'],11,14,1.159900579950285
61_Parent_CA-BO-IO,Parent,['CA-BO-IO'],621.39,611.09,6.040000000000001,['Parent'],['61_Parent_CA-BO-IO'],22,28,2.7184466019417597
